week_id,ad_id,requester,region,recommendation_type,rec_provider
2022-week_52,AD08Z8NXPM,RelayFoods,US,Qality,DNNQ
2022-week_52,AD08X88DRM,Extreme DA,US,Yield,DNNY
2022-week_52,AD08JYRL78,MoJoe Brewing Company,US,Yield,DNNY
2022-week_52,AD098KXS8L,RelayFoods,US,Qality,DNNQ
2022-week_52,AD07J88QWJ,Tab Solutions,US,Qality,RNNQ
2022-week_52,AD088D88YD,Extreme DA,US,Yield,DNNY
2022-week_52,AD07Z6SL88,Fancy,US,Qality,DNNQ
2022-week_52,AD08PNPRX8,Extreme DA,US,Yield,UserPopY
2022-week_52,AD07XZLN9K,Extreme DA,US,Yield,DNNY
2022-week_52,AD0788WJGY,Extreme DA,US,Yield,RNNY
2022-week_52,AD07PF8MKL,Fancy,US,Qality,DNNQ
2022-week_52,AD098W8WYH,MoJoe Brewing Company,US,Yield,DNNY
2022-week_52,AD08M8RN8R,Extreme DA,US,Yield,RNNY
2022-week_52,AD09CGQSQR,Extreme DA,US,Yield,DNNY
2022-week_52,AD07FMN7NR,Extreme DA,US,Yield,DNNY
2022-week_52,AD08LYPL7H,Extreme DA,US,Yield,XGBY
2022-week_52,AD07SP8L88,Extreme DA,US,Yield,RuleBasedY
2022-week_52,AD07JJ8F8,Sensor Tower,US,Qality,DNNQ
2022-week_52,AD000UWIIQ,Extreme DA,US,Yield,DNNY
2022-week_52,AD08X6F8W8,Extreme DA,US,Yield,UserPopY
2022-week_52,AD07SWY8F9,MoJoe Brewing Company,US,Yield,RNNY
2022-week_52,AD07VDVQJ7,RelayFoods,US,Qality,XGBQ
2022-week_52,AD07SCL688,Fancy,US,Qality,ManualQ
2022-week_52,AD089DR89T,MoJoe Brewing Company,US,Yield,DNNY
2022-week_52,AD0788C8ZP,Extreme DA,US,Yield,DNNY
2022-week_52,AD0888E8M8,Extreme DA,US,Yield,DNNY
2022-week_52,AD07DPVH8T,RelayFoods,US,Qality,DNNQ
2022-week_52,AD088NWVMC,Fancy,US,Qality,DNNQ
2022-week_52,AD07VT7X7K,Extreme DA,US,Yield,DNNY
2022-week_52,AD00E6EZW8,Extreme DA,US,Yield,DNNY
2022-week_52,AD0898DXNL,Extreme DA,US,Yield,UserPopY
2022-week_52,AD0006PKIQ,Fancy,US,Qality,DNNQ
2022-week_52,AD00JF8LRN,Extreme DA,US,Yield,DNNY
2022-week_52,AD088888WG,Extreme DA,US,Yield,RNNY
2022-week_52,AD088VM78P,Extreme DA,US,Yield,RNNY
2022-week_52,AD08H888GW,RelayFoods,US,Qality,RNNQ
2022-week_52,AD00LPOJO,Fancy,US,Qality,DNNQ
2022-week_52,AD088MPFV8,Tab Solutions,US,Qality,RNNQ
2022-week_52,AD08LTI098,MoJoe Brewing Company,US,Yield,DNNY
2022-week_52,AD08QFFP8Q,Extreme DA,US,Yield,DNNY
2022-week_52,AD087TVCYD,Extreme DA,US,Yield,RNNY
2022-week_52,AD008LC8W8,iDreamsky Technology,US,Yield,BooksY
2022-week_52,AD08LZ8LH9,RelayFoods,US,Qality,DNNQ
2022-week_52,AD07888TLH,Extreme DA,US,Yield,RNNY
2022-week_52,AD079Y8CDF,MoJoe Brewing Company,US,Yield,DNNY
2022-week_52,AD088W88GK,Extreme DA,US,Yield,XGBY
2022-week_52,AD08N088V8,Fancy,US,Qality,DNNQ
2022-week_52,AD07D88W86,Tab Solutions,US,Qality,DNNQ
2022-week_52,AD07D88W86,Fancy,US,Qality,DNNQ
2022-week_52,AD00N0H87N,Fancy,US,Qality,DNNQ
2022-week_52,AD000F8USF,Extreme DA,US,Yield,RNNY
2022-week_52,AD08TM8S98,Extreme DA,US,Yield,DNNY
2022-week_52,AD80980698,Extreme DA,US,Yield,BooksY
2022-week_52,AD08CDSQ96,Extreme DA,US,Yield,RuleBasedY
2022-week_52,AD08NVSQSC,Extreme DA,US,Yield,UserPopY
2022-week_52,AD088PHKWF,Fancy,US,Qality,DNNQ
2022-week_52,AD099HW8MK,Extreme DA,US,Yield,RuleBasedY
2022-week_52,AD078KPHKY,Fancy,US,Qality,DNNQ
2022-week_52,AD000V9CQ8,Extreme DA,US,Yield,RuleBasedY
2022-week_52,AD07QHYD8N,Extreme DA,US,Yield,XGBY
2022-week_52,AD08TMDV8W,Extreme DA,US,Yield,DNNY
2022-week_52,AD08L7U8SX,Extreme DA,US,Yield,DNNY
2022-week_52,AD07W86X88,Extreme DA,US,Yield,DNNY
2022-week_52,AD00I8IMUH,Extreme DA,US,Yield,RNNY
2022-week_52,AD07YXDJ8G,Extreme DA,US,Yield,RNNY
2022-week_52,AD07NC9GHM,Extreme DA,US,Yield,DNNY
2022-week_52,AD00PPWHUE,Extreme DA,US,Yield,DNNY
2022-week_52,AD000CFUOR,Extreme DA,US,Yield,RNNY
2022-week_52,AD07FDSF89,Extreme DA,US,Yield,RuleBasedY
2022-week_52,AD07FDFDHC,Extreme DA,US,Yield,DNNY
2022-week_52,AD00E8XI7D,Extreme DA,US,Yield,DNNY
2022-week_52,AD00I8PU8T,Extreme DA,US,Yield,RNNY
2022-week_52,AD07TD96K8,Extreme DA,US,Yield,RNNY
2022-week_52,AD0868SFPM,Extreme DA,US,Yield,RNNY
2022-week_52,AD008GW8VK,Fancy,US,Qality,UserPopQ
2022-week_52,AD07XM88SP,Extreme DA,US,Yield,RuleBasedY
2022-week_52,AD07X8W88P,Fancy,US,Qality,RNNQ
2022-week_52,AD0008WSFT,Extreme DA,US,Yield,DNNY
2022-week_52,AD078FVQNW,Fancy,US,Qality,ManualQ
2022-week_52,AD08MQYAG8,Extreme DA,US,Yield,UserPopY
2022-week_52,AD08D86PQG,Extreme DA,US,Yield,RNNY
2022-week_52,AD078L7V9T,RelayFoods,US,Qality,DNNQ
2022-week_52,AD088F8GV8,Extreme DA,US,Yield,UserPopY
2022-week_52,AD098JWWX8,Extreme DA,US,Yield,RuleBasedY
2022-week_52,AD0869D8SZ,Extreme DA,US,Yield,DNNY
2022-week_52,AD087I8SGD,Search Million Culture,US,Qality,XGBQ
2022-week_52,AD000I8DFA,Fancy,US,Qality,DNNQ
2022-week_52,AD0088NQC8,Fancy,US,Qality,DNNQ
2022-week_52,AD088KDGC8,Extreme DA,US,Yield,XGBY
2022-week_52,AD088S889G,Extreme DA,US,Yield,DNNY
2022-week_52,AD07F88NZ9,Extreme DA,US,Yield,DNNY
2022-week_52,AD088SW6J8,Extreme DA,US,Yield,DNNY
2022-week_52,AD08HN8XCD,Extreme DA,US,Yield,UserPopY
